a	indef art one
lingua	 The tongue.
lingual	consisting of or related to language ; pertaining to or resembling or lying near the tongue
linguist	person who knows several foreign languages well
linguistic	 adj. of language or linguistics
linguistics	n. scientific study of language or of particular languages
liniment	 n. liquid, esp one made with oil, for rubbing on the body to relieve aches or bruises
lining	layer of material used to cover the inside surface of sth
link	one ring or loop of a chain
linkage	action or manner of linking or being linked
linkup	 the establishing of a connection or union between objects, groups, organizations, etc.
linoleum	 n. type of tough floor-covering made of canvas coated with powdered cork and linseed oil, etc
lint	soft material used for dressing wounds
lion	large powerful flesh-eating animal of the cat family, found in Africa and parts of southern Asia .
lioness	n. female lion
lionize	assign great social importance to
lip	either of the fleshy edges of the opening of the mouth
lipid	any of a large group of organic compounds that are esters of fatty acids (simple lipids, such as fats and waxes) or closely related substances (compound lipids, such as phospholipids)
lipstick	 n. cosmetic for colouring the lips
liquefy	v. (cause sth to) become liquid
liqueur	n. strong alcoholic spirit, drunk in small quantities esp after a meal
liquid	substance that flows freely but is not a gas, eg water or oil
liquidate	pay or settle
liquidation	liquidating or being liquidated
liquidity	state of having assets that can easily be changed into cash
liquor	(Brit) any alcoholic drink
lissom	 adj. quick and graceful in movement; lithe ;
lissome	adj. easily bent; supple; having the ability to move with ease; limber
list	series of names, items, figures, etc written or printed
listen	 v. ~ try to hear sb/sth; pay attention
listener	 n. person who listens
listless	 adj. having no energy, vitality or enthusiasm
listlessness	 n.
litany	series of prayers to God for use in church services, spoken by a priest with set responses by the congregation
liter	= litre
literacy	 n. ability to read and write
literal	corresponding exactly to the original
literally	in a literal manner; exactly
literary	 adj. of or concerned with literature
literate	able to read and write
literati	 n. educated and intelligent people who have learned much from literature and books
literature	writings that are valued as works of art, esp fiction, drama and poetry (as contrasted with technical books and journalism)
lithe	adj. bending or turning easily; supple
lithesome	Nimble.
lithograph	 n. picture, etc printed by lithography
lithosphere	the rigid outer layer of the earth, having an average thickness of about 75 km and comprising the earth's crust and the solid part of the mantle above the asthenospher
litigant	 n. person involved in a lawsuit
litigate	 v. engage in a lawsuit; go to law ;
litigation	 n. process of going to law
litigious	of lawsuits
litmus	 n. blue colouring-matter that is turned red by acid and can be turned blue again by alkali
litotes	It wasn't easy It was very difficult
litre	n. unit of capacity in the metric system, equal to about pints, used for measuring liquids , 1.
litter	light rubbish (eg bits of paper, wrappings, bottles) left lying about, esp in a public place
little	 adj. are rare. It is more common to use smaller, smallest.
littoral	 n, adj (part of a country that is) along the coast
liturgical	 of or relating to or in accord with liturgy
liturgy	n. fixed form of public worship used in churches
livable	fit or suitable to live in or with
live	having life
liveable	 adj. worth living; tolerable
livelihood	 n. means of living; income
lively	full of life and energy; high-spirited; vigorous
liver	large organ in the abdomen that produces bile and purifies the blood .
liverish	suffering from a disorder of the liver
lives	pl of life
livestock	n. animals kept on a farm for use or profit, eg cattle or sheep ,
livid	of the colour of lead; bluish-grey
living	alive, esp now
living-room	n. room in a private house for general use during the daytime
lizard	 n. reptile with a rough skin, four legs and a long tail
load	thing that is being carried or to be carried, esp if heavy
loaf	mass of bread shaped and baked in one piece
loafer	idler
loam	 n. rich soil containing clay, sand and decayed vegetable matter
loamy	adj. loamy land
loan	thing that is lent, esp a sum of money
loath	~ to do sth unwilling; reluctant
loathe	 v. feel great hatred or disgust for (sb/sth)
loathing	 n. disgust
loathsome	adj. causing one to feel disgusted or shocked; repulsive
loaves	 pl of loaf1
lobby	porch, entrance-hall or ante-room
lobbyist	 n. person who lobbies
lobe	lower soft part of the outer ear .
lobster	n. large bluish-black shellfish with eight legs and two long claws that turns scarlet when it is boiled .
local	belonging to a particular place or district
locale	 n. scene of events, operations, etc
locality	 n. position of sth; place or district in which sth happens
locate	discover the exact position or place of
location	place or position
locative	 Indicating place, or the place where or wherein an action occurs.
loch	lake
loci	 pl of locus
lock	portion of hair that hangs or lies together
loco	 n. (infml ) locomotive engine
locomotion	 n. moving, or the ability to move, from place to place
locomotive	 adj. of, having or causing locomotion
locus	n. exact place of sth
locust	 n. type of African and Asian winged insect that migrates in huge swarms which destroy all the vegetation of a district
locution	style of speech; way of using words ;
lode	 n. vein of metal ore
lodestone	n. = loadstone
lodge	small house at the gates of a park or in the grounds of a large house, occupied by a gate-keeper or other employee
lodgement	action or process of lodging (lodge
lodger	 n. person who pays to live in sb's house
lodging	temporary accommodation
lodgment	 The act of furnishing with temporary quarters.
loft	room or space directly under the roof of a house, used for storing things
lofty	(of thoughts, aims, etc) noble; exalted
log	length of tree-trunk that has fallen or been cut down
logger	 another word for: lumberjack
logic	science of reasoning
logical	in accordance with the rules of logic; correctly reasoned
logicality	 n. being logical
logically	adv: argue logically
logician	 n. person who is skilled in logic
logistics	n. organization of supplies and services, etc for any complex operation
logjam	 any stoppage attributable to unusual activity ; an immovable mass of logs blocking a river
loiter	~ stand about idly
loll	~ rest, sit or stand lazily, often while leaning against sth
lone	without companions; solitary
loneliness	 Solitude.
lonely	sad because one lacks friends or companions
loner	n. person who avoids the company of others
long	 adj. having a great or specified extent in space
longevity	n. long life
longing	n. ~ intense desire
longitude	n. distance east or west of the Greenwichmeridian, measured in degrees
longitudinal	of longitude
long-range	 adj. of or for a period of time far in the future
long-standing	adj. that has existed or lasted for a long time
long-term	adj. of or for a long period of time
longueur	 a period of dullness or boredom (especially in a work of literature or performing art)
long-winded	adj. talking or writing at tedious length
look	~ turn one's eyes in a particular direction (in order to see sb/sth)
lookout	the act of keeping watch against danger, etc.
loom	 n. machine for weaving cloth
loon	 (informal)
loop	shape produced by a curve crossing itself
loophole	way of escaping a rule, the terms of a contract, etc, esp one provided by vague or careless wording
loose	freed from control; not tied up
loosely	adv. in a loose manner
loosen	become or make loose or looser
loot	goods taken from an enemy in war, or stolen by thieves ,
lop	cut branches, twigs, etc off (a tree) ,
lope	 v. run fairly fast with long bounding strides
lopsided	 adj. with one side lower, smaller, etc than the other; unevenly balanced
loquacious	 adj. fondof talking; talkative ;
loquaciousness	 [ loquacious: ]
loquacity	[ loquacious: ]
lord	master; male ruler
lordling	 A little lord.
lordly	haughty; insolent in a superior way
lore	 n. knowledge and traditions about a subject or possessed by a particular group of people
lorry	n. (also esp US truck) large strong motor vehicle for transporting goods, soldiers, etc by road
lose	 v. have (sth/sb) taken away from one by accident, misfortune, old age, death, etc
loser	n. person who loses or is defeated, esp habitually
loss	act, instance or process of losing
lost	 pt, pp of lose
lot	n. the `lot, all the `lot, the whole `lot the whole number or amount (of sb/sth)
lottery	way of raising money by selling numbered tickets and giving prizes to the holders of numbers selected at random
lotto	n. game of chance similar to bingo but with the numbers drawn by the players instead of being called
loud	producing much noise; easily heard
loudly	* loudly dressed
loudspeaker	n. part of a radio, record-player, etc that changes electrical impulses into audible sounds
lough	n. lake or long inlet of the sea
lounge	 v. sit or stand in a lazy way, esp leaning against sth; loll
lounger	n. lazy or idle person
louse	small insect living on the bodies of animals and human beings, esp in dirty conditions
lout	 n. clumsy vulgar man or youth with bad manners
loutish	adj. of or like a lout
lovable	adj. easy to love; worthy of love
love	warm liking or affection; affectionatedevotion
lovelorn	 adj. unhappy because one's love is not returned
lovely	beautiful; attractive
lover	partner in a sexual relationship outside marriage
low	not high or tall; not extending far upwards
lowbred	(of persons) lacking in refinement or grace
lower	let or bring (sb/sth) down
lowly	adj. (dated ) of humble rank or condition
low-spirited	 Despondent.
loyal	adj. ~ true and faithful
loyalist	 n. person who is loyal, esp to the established ruler or government during a revolt
loyalty	n. being true and faithful; loyal behaviour
lubber	 n. big clumsy stupid boy or man
lubricant	n. substancethat lubricates
lubricate	v. put oil or grease on or in so that it moves easily
lubrication	n. lubricating or being lubricated
lubricious	 adj. showing an unpleasant enjoyment of sexual matters; lewd ;
lucid	clearly expressed; easy to understand
lucidity	 n.
luck	chance, esp thought of as a force that brings good or bad fortune
luckless	 adj. unlucky
lucky	having, bringing or resulting from good luck
lucrative	adj. producing much money; profitable
lucre	profit or money-making, as a motive for doing sth
lucubrate	write in scholarly fashion
lucubration	a solemn literary work that is the product of laborious cogitation ; laborious cogitation
ludicrous	adj. causing laughter; ridiculous; absurd
lug	v. drag or carry (sth) with great effort
luggage	n. bags, suitcases, etc containing sb's belongings and taken on a journey
lugubrious	 adj. dismal; mournful
lugubriousness	 n.
lukewarm	only slightly warm; tepid
lull	~ sb/sth (to sth) make (a person or an animal) quiet or less active; soothe sb/sth
lullaby	n. soft gentle song sung to make a child go to sleep
lumber	unwanted pieces of furniture, etc that are stored away or take up space
lumberjack	 n. man whose job is felling trees or cutting or transporting timber
lumen	a unit of luminous flux equal to the light emitted in a unit solid angle by a uniform point source of one candle intensity
luminary	person who inspires or influences others
luminescence	 Showing increase.
luminosity	 n. quality of being luminous
luminous	giving out light; bright
lump	hard or compact mass, usu without a regular shape
lumpish	adj. heavy; clumsy; stupid
lunacy	unsoundness of mind; insanity; madness ;
lunar	adj. of the moon
lunatic	insane person
lunch	meal taken in the middle of the day
luncheon	 n. lunch
lune	 The moon.
lung	 n. either of the two breathing-organs in the chest of man and other animals
lupin	n. garden plant with tall spikes of flowers, bearing seeds in pods
lurch	n. leave sb in the lurch
lure	thing that attracts or invites
lurid	having bright glaring colours or combinations of colour
lurk	be or stay hidden, esp when waiting to attack
luscious	rich and sweet in taste or smell
lush	growing thickly and strongly; luxuriant
lust	~ (for sb) strong sexual desire
luster	 shine; gloss
lustily	adv: sing lustily
lustre	soft brightness of a smooth or shining surface; sheen
lustrous	 adj. having lustre
lusty	adj. healthy, vigorous and full ofvitality
luxuriance	 n. luxuriant growth
luxuriant	adj. growing thickly and strongly; lush
luxuriate	v. ~ in sth take great pleasure in sth; enjoy sth as a luxury
luxurious	supplied with luxuries; very comfortable
luxury	the best and most expensive food and drink, clothes, surroundings, etc
lying	pres p of lie1, lie
lynch	v. put to death or punish violently without a lawful trial
lyre	 n. ancient musical instrument with strings fixed in a U-shaped frame, played by plucking with the fingers , U
lyric	expressing direct personal feelings
lyrical	= lyric
lyrics	 Expressing deep personal emotion or observations
macabre	adj. connected with death, and thus causing fear; gruesome
macadam	n. road surface made of layers of compressed broken stones
macadamize	 To cover or pave, as a path or roadway, with small broken stone.
macaroni	 n. long hard tubes of pasta, often chopped into short pieces and boiled in water before eating
mace	large heavy club formerly used as a weapon, usu having a head with metal spikes ,
macerate	 v. (cause sth to) become soft or break up by soaking
Machiavellian	adj. cunning and deceitful in gaining what one wants; showing such cunning or deceit
machination	n. evil plot or scheme
machinations	 [ machination: ] an intrigue, plot, or scheme
machine	apparatus with several moving parts, designed to perform a particular task, and driven by electricity, steam, gas, etc, or by human power
machinery	moving parts (of a machine)
machinist	person who operates a machine, esp a sewing-machine
mackintosh	 n. coat made of rainproof material
macrocosm	the macrocosm the universe
maculate	 marked with spotsblotched ;impure, besmirched
maculated	make dirty or spotty; also used metaphorically ; spot, stain, or pollute
mad	mentally ill; insane
madam	(fml ) (polite form of address to a woman, whether married or unmarried, usu sb one does not know personally , )
madame	Mmes) (French title given to an older, esp married or widowed, woman or to an older woman who is not British or American
madden	 v. make mad(4); irritate; annoy
maddening	adj. annoying; irritating
made	 pt, pp of make1
Madonna	the Madonna the Virgin Mary, mother of Jesus Christ
madrigal	 n. songfor several voices, usu without instrumental accompaniment,on the themes of love and/or nature 16,
maelstrom	great whirlpool
maestro	n. (with a capital letter when followed by a name ) (title given to a) master in the arts, esp a great musical composer, conductor or teacher
magazine	 n. paper-covered periodical, usu weekly or monthly, with articles, stories, etc, by various writers
magenta	adj. n bright purplish red
maggot	 n. larva or grub (esp of the bluebottle or cheese-fly), which lays its eggs in meat, cheese, etc
maggoty	adj. full of maggots
magic	power of apparentlyusing supernatural forces to change the form of things or influence events; superstitious practices based on this
magical	of, used in or like magic
magician	 n. person who is skilled in magic(
magisterial	having or showing authority
magisterially	adv: dismiss the servants magisterially
magistracy	position of a magistrate
magistrate	 n. official who acts as a judge in the lowest courts; Justice of the Peace
magnanimity	n. being magnanimous
magnanimous	adj. having or showing great generosity
magnate	n. wealthy and powerful landowner or industrialist
magnet	piece of iron, often ina horseshoe shape, which can attract iron, either naturallyor because of an electric current passed through it, and which points roughly north and south when freely suspended
magnetic	with the properties of a magnet
magnetism	properties and effects of magnetic substances
magnetize	To make a magnet of, permanently, or temporarily.
magnification	magnifying
magnificence	 The exhibition of greatness of action, character, intellect, wealth, or power.
magnificent	adj. splendid; remarkable; impressive
magnified	[ magnify: ] to increase, cause to increase, or be increased in apparent size, as through the action of a lens, microscope, etc.
magnify	make (sth) appear larger, as a lens or microscope does
magniloquent	,
magnitude	(usu large) size
magpie	noisy black-and-white bird that is attracted by, and often takes away, small bright objects .
maharaja	 n. Indian prince
maid	woman servant
maiden	girl or unmarried woman
maidenhood	 n. state of being a maiden; virginity ;
maidservant	n. maid(1)
mail	official system of collecting, transporting and delivering letters and parcels
mailbox	= letter-box (letter)
maim	 v. wound or injure so that part of the body cannot be used
main	most important; chief; principal
mainland	 n. large mass of land forming a country, continent, etc without its islands
mainly	 adv. chiefly; primarily
mainsheet	the line used to control the angle of the mainsail to the win
mainstay	rope from the top of the mainmast to the base of the foremast
maintain	~ sth cause sth to continue; keep sth in existence at the same level, standard, etc
maintenance	maintaining or being maintained
maisonette	self-contained dwelling on two floors, part of a larger building or block
maize	n. tall cereal plant bearing yellow grain on large ears
majestic	 adj. having or showing majesty; stately; grand
majestically	 adv: She strode majestically through the palace
majesty	impressive dignity and stateliness; grandeur, as of a king or queen
major	important; great(er)
majority	the greater number or part; most
make	 v. (pt, pp made / meId; med/)
make compromise with 
	make compromise with 
maker	the/our Maker the Creator; God ;
makeshift	n, adj used temporarily until sth better is available
makeup	 The arrangements or combination of the parts of which anything is composed.
maladjusted	adj. unable for psychological reasons to behave acceptably or deal satisfactorily with other people
maladroit	adj. not clever or skilful; clumsy; bungling
malady	 n. disease; illness
malaise	n. general feeling of illness, without clear signs of a particular disease
malapropism	ncomical confusion of a word with another, similar-sounding,word which has a quite different meaning, eg `an ingenuousmachine for peeling potatoes'
malapropos	 of an inappropriate or misapplied nature or kind
malaria	n. fever produced when germs are introduced into the blood by a bite from certain mosquitoes
malarial	 adj. of malaria
malcontent	 n, adj discontented and rebellious
malcontented	 discontent; unhappy
male	of the sex that does not give birth to offspring
malediction	n. prayer that sb or sth may be destroyed, hurt, etc; curse ;
malefactor	 n. wrongdoer; criminal
maleficent	 adj. causing or doing evil
malevolence	n. desire to do evil or cause harm to others; ill-will ;
malevolent	 adj. ~ wishing to do evil or cause harm to others; spiteful
malfeasance	a wrongful act that the actor had no right to do; improper professional conduct
malformation	state of being badly formed or shaped
malfunction	v. (of a machine) fail to work normally or properly
malice	~ desire to harm others
malicious	adj. intended to harm others
malign	 v. say unpleasant or untrue things about
malignant	feeling or showing great desire to harm others; malevolent
malignity	wishing evil to others ; quality of being disposed to evil; intense ill will
malinger	 v. (usu in the continuous tenses ) pretend to be ill in order to avoid work or duty
malingerer	 n. person who malingers
mall	 n. street or covered area with rows of shops, closed to traffic
malleable	that can be beaten or pressed into different shapes easily
mallet	hammer with a wooden head, eg for striking the handle of a chisel .
malnutrition	 n. condition resulting from a lack of food
malodor	an offensive odor
malodorous	 adj. smelling unpleasant
malpractice	n. careless, illegal or unethical behaviour by sb in a professional or official position
maltreat	 v. treat (a person or an animal) with violence or cruelty; mistreat ;
maltreatment	 n. maltreating or being maltreated
mamba	n. black or green poisonous African snake
mammal	 n. any of the class of animals that give birth to live offspring and feed their young on milk from the breast
mammoth	n. large hairy type of elephant, now extinct
man	adult male human being
manacle	n. one of a pair of chains or metal bands for binding the hands or feet; fetter ;
manage	be in charge of (sth); run
manageable	 adj. that can be managed; easily controlled
management	control and organization
manager	person controlling a business, etc
managerial	 adj. of managers or management
mandate	~ (to do sth) authority given to a party, trade union, etc by the people who support it
mandatory	adj. required by law; compulsory
mane	long hair on the neck of a horse, lion, etc
man-eater	n. lion, tiger, etc that attacks men
maneuver	 = manoeuvre
maneuverable	 [ maneuver: ] a contrived, complicated, and possibly deceptive plan or action
maneuvering	[ maneuver: ] a contrived, complicated, and possibly deceptive plan or action
mange	n. skin disease of hairy animals, caused by a parasite
mangle	damage greatly, (almost) beyond recognition; mutilate
mangy	suffering from mange
mania	mental disorder marked by extreme excitement or violence
maniac	mad person
maniacal	violently mad
manifest	 adj. ~ (fml ) clear and obvious
manifestation	outward demonstration; indication
manifesto	n. (publication containing a) public declaration by a political party, ruler, etc of principles and policy
manifold	 adj. of many types; many and various
manikin	n. abnormally small man; dwarf ;
manipulate	control or handle with skill
manipulated	[ manipulate: ] vt. to handle or use, esp. with some skill, in a process or action
manipulation	 n. manipulating or being manipulated
manipulative	 adj. tending to manipulate(2)
manipulator	n. person who manipulates(2)
mankind	 the human race
manly	(approv ) (of a man) having the qualities or appearance expected of a man
mannequin	woman employed to display new styles of clothes by wearing them; fashion model
manner	way in which a thing is done or happens
mannered	 adj. having an unnatural style of speaking, writing, etc; affected
mannerism	peculiar habit of behaviour, speech, etc
manoeuvre	planned and controlled movement of armed forces
manor	unit of land under the feudal system, part of which was used by the lord of the manor (lord), the rest being farmed by tenants ,
manorial	 adj. of a manor (1
mansion	large and stately house
mantel	 n. = mantelpiece
mantle	loose sleeveless cloak
manual	 adj. of, done with or controlled by the hands
manufacture	make on a large scale using machinery
manufacturer	 n. person or firm that manufactures things
manumission	Emancipation.
manumit	v. (fml ) (formerly) free (a slave)
manure	 n. animal dung or other material, natural or artificial, spread over or mixed with soil to make it fertile
manuscript	thing written by hand, not typed or printed
many	a large number of people or things . (det)
map	representation on paper, etc of the earth's surface or part of it, showing countries, rivers, mountains, oceans, roads, etc
maple	n. (also `maple tree) one of various types of tree of the northern hemisphere, grown for timber and ornament
mar	damage (sth); spoil
maraud	 a sudden short attack ; search for plunder
marble	type of hard limestone used, when cut and polished, for building and sculpture
march	the third month of the year, next after February
mare	female horse or donkey
margarine	n. food like butter, made from animal or vegetable fats
margin	blank space round the written or printed matter on a page
marginal	of or in a margin
marginally	 adv. slightly
marine	of, near, found in or produced by the sea
mariner	n. sailor
marionette	 n. jointed puppetmoved by strings .
marital	adj. of ahusband or wife; of marriage
maritime	of the sea, sailing or shipping
mark	stain, spot, line, etc, esp one that spoils the appearance of sth
marked	 adj. clear; noticeable; easily seen
markedly	 adv. in a marked manner; noticeably
market	gathering of people for buying and selling goods; place where they meet
marketing	n. theory and practice of commercialselling
marketplace	a place where a public market is held
marmoreal	adj. of or like marble
maroon	 adj. n brownish red
marquetry	n. pattern of piecesof wood, ivory, etc set into the surface of furniture as decoration
marquis	nobleman next in rank above an earl and below a duke earlduke
marred	 [ mar: ] vt. to cause harm to; spoil or impair
marriage	legal union between a man and a woman as husband and wife; state of being married
marriageable	 adj. old enough to marry; suitable for marriage
married	~ (to sb) having a husband or wife; united in marriage
marrow	soft fatty substance that fills the hollow parts of human and animal bones
marry	take (sb) as a husband or wife
Mars	 n. the planet fourth in order from the sun, next to the Earth
marsh	n. low-lying wet land
marshal	officer of high rank
marshy	 adj. of, like or containing a marsh
marsupial	n, adj of the class of mammals which includes the kangaroo, the female of which has a pouch on its body to hold its young
martial	adj. of or associated with war
martian	n, adj of the planet Mars
martinet	 n. person who imposes strict discipline and demands obedience to orders
martyr	person who is killed or made to suffer greatly because of his beliefs
martyrdom	n. martyr'ssuffering or death
marvel	wonderful or miraculousthing; thing causing astonishment
marvellous	very good; excellent
marvelous	[ marvellous: ] causing great wonder, surprise, etc.; extraordinary
Marxism	n. political and economic theory of Karl Marx (1818-83), stating that class struggle is the force behind historical change and that capitalism will inevitably be replaced by socialism and a classless society
Marxist	n. supporter of Marxism. adj. characterized by, supporting or relating to Marxism
mascot	 n. person, animal or thing thought to bring good luck
masculine	having the qualities or appearance thought to be typical of men
masculinity	n. quality of being masculine
mash	grain, bran, etc cooked in water until soft, used as food for animals
mask	covering for the face, or part of it, worn as a disguise
masochism	n. gettingpleasure from one's own pain or humiliation
masochist	n.
mason	person who builds in or works with stone
masonry	that part of a building that is made of stone and mortar; stonework
masquerade	false show; pretence
mass	celebration of Christ's Last Supper, esp in the Roman Catholic Church
massacre	cruel killing of a large number
massive	large, heavy and solid
massiveness	n.
mast	upright post of wood or metal used to support a ship's sails
master	gain control of overcome (sth)
mastermind	 n. person who is unusually intelligent, esp one who plans the work of others
masterpiece	n. task done with great skill, esp an artist's greatest work
mastery	(~ complete) knowledge; great skill
masticate	v. chew (food)
mastodon	 n. large animal like an elephant, now extinct ,
mat	piece of material, made of straw, rushes, fibre, etc, used to cover part of a floor
matador	n. bullfighter whose task is to fight and kill the bull
match	n. short piece of wood or pasteboard with a head made of material that bursts into flame when rubbed against a rough or specially prepared surface
mate	(infml ) (male) friend, companion or fellow-worker
material	substance or things from which sth else is or can be made; thing with which sth is done
materialism	n. 1obsession with material possessions,bodily comforts, etc while neglecting spiritual values
materialist	person excessively interested in material things
materialistic	adj. of materialism
materialize	To take perceptible or substantial form.
materially	 adv. in a significant way; essentially
maternal	of or like a mother
matey	adj. ~ (infml ) sociable; familiar; friendly
math	 (informal) short for: mathematics
mathematical	 adj. of mathematics
mathematically	 adv: She's not mathematically inclined, ie not interested in mathematics
mathematics	n. science of numbers, quantity and space, of which eg arithmetic, algebra, trigonometry and geometry are branches
maths	(informal) short for: mathematics
matinee	n. afternoon performance at a cinema or theatre
matriarch	n. female head of a family or tribe
matriarchal	adj. a matriarchal society, tribe, etc
matriarchy	 n. type of society in which women are the heads of families, own property and have most of the authority
matrices	 pl of matrix
matricide	killing one's own mother
matriculate	v. be admitted or admit as a student to a university
matriculation	n. matriculating or being matriculated
matrimony	n. state of being married; marriage
matrix	 n. mould into which molten metal, liquid, etc is poured to form shapes for eg printer's type, gramophone records, etc
matron	woman who manages the domestic affairs of a school, etc
matter	affair, topic or situation being considered
mattress	 n. fabric case filled with soft or springy material and used for sleeping on .
maturation	 n. process of becoming or being made mature
maturational	 [ maturation: ] the process of maturing or ripening
mature	fully grown or developed mentally or physically; having achieved one's full potential
maturity	 n. state of being mature
maudlin	adj. foolishly or tearfully sentimental or self-pitying, esp when drunk ,
maul	~ sb/sth (about) handle sb/sth roughly or brutally
maunder	~ talk in a rambling way
mausoleum	n. large, finely built tomb
mauve	adj. n pale purple colour
maven	one who is experienced or knowledgeable:EXPERT
maverick	unbranded calf
mawkish	adj. sentimental in a feeble or sickly way
maxim	n. saying that expresses a general truth or rule of conduct, eg `Waste not, want not' ,
maximal	adj. as great as can be achieved
maximise	 [ maximize: ] vt. to make as high or great as possible; increase to a maximum
maximize	 vt. to make as high or great as possible; increase to a maximum
maximum	max) greatest amount, size, intensity, etc possible or recorded
may	n. the fifth month of the year, next after April
maybe	perhaps; possibly
mayhem	violent disorder or confusion; havoc
mayor	n. head of the council of a city or borough, usu elected yearly
mayoral	adj. of a mayor or mayoress
maze	network of paths or hedges designed as a puzzle in which one must find one's way
me	person who is the speaker or writer
mead	 n. alcoholic drink made from fermented honey and water
meadow	 n. grassland, esp used for growing hay; (area of) low, often boggy, land near a river
meager	 deficient in quality or quantity
meagre	small in quantity and poor in quality
meal	occasion when food is eaten
mealymouthed	 hesitant to state facts or opinions simply and directly as from e.g. timidity or hypocrisy
mean	~ sth (to sb) (intend to) convey sth; signify sth
meander	follow a winding course, flowing slowly
meaning	what is conveyed or signified; sense
means	action by which a result is brought about; method
meant	pt, pp of mean1
meantime	 adv. meanwhile
meanwhile	adv. in the time between two events; at the same time
measles	n. infectious disease, esp of children, with a fever and small red spots that cover the whole body
measly	 adj. ridiculously small in size, amount or value
measurable	that can be measured
measure	~ (sth) (up) find the size, length, volume, etc of (sth) by comparing it with a standard unit
measured	carefully considered
measurement	measuring
measuring	[ measure: ] the extent, quantity, amount, or degree of something, as determined by measurement or calculation
meat	flesh of animals, esp mammals rather than fish or birds, used as food
mecca	city in Saudi Arabia, birthplaceof Muhammad and the spiritual centre of Islam ,
mechanic	 n. worker skilled in using or repairing machines or tools
mechanical	of, connectedwith, produced by or operated by a machine or machines
mechanically	 adv. in a mechanical way
mechanics	science of motion and force; science of machinery
mechanism	working parts of a machine, etc
mechanization	[ mechanize: ] to equip (a factory, industry, etc.) with machinery
mechanize	to equip (a factory, industry, etc.) with machinery
medal	n. flat piece of metal, usu shaped like a coin and stamped with words and a design, which commemorates an event etc, or is awarded to sb for bravery, sporting achievement, etc
medallion	n. large medal
meddle	 v. ~ (in sth) interfere (in sth that is not one's concern)
meddler	n. person who meddles
meddlesome	 adj. fond of or in the habit of meddling
media	n. the media means of mass communication, eg TV, radio, newspapers
mediaeval	= medieval
medial	situated in the middle
median	 adj. situated in or passing through the middle
mediate	~ act as a peacemaker or go-between for two or more people, groups, etc who disagree
mediation	n.
mediator	 n. person, organization, etc that mediates
medical	of the art of medicine; of curing disease
medically	adv: medically sound
medicate	 to cover or impregnate (a wound, etc.) with an ointment, cream, etc.
medicine	prevention and cure of disease, esp by drugs, diet, etc, but sometimes including surgery also
medieval	 adj. of the Middle Ages, about AD 1100-1400 , 1100-1400
mediocre	 adj. not very good; second-rate
mediocrity	quality of being mediocre
meditate	~ think deeply, esp about spiritual matters
meditation	deep thought, esp about spiritual matters
meditative	 adj. of meditation; engrossed in thought
Mediterranean	adj. of or similar to the Mediterranean Sea or the countries, etc bordering it
medium	 n. (pl usu media) means by which sth is expressed or communicated
medley	piece of music made up of passages from other musical works
meek	 adj. humble and obedient; submissive
meet	come face to face with (sb); come together
meeting	coming together of people, esp for discussion
megalith	 n. large stone, esp one erected as a monument in ancient times
megalithic	made of megaliths
megalomania	n. form of madness in which a person has an exaggerated view of his own importance, power, etc
megalomaniac	 n. person suffering from megalomania
megawatt	 one million watts.
melancholic	adj. melancholy
melancholy	 n. deep sadness which lasts for some time; depression ;
melange	n. mixture; medley ;
meld	 a form of rummy using two decks and four jokers; jokers and deuces are wild; the object is to meld groups of seven of the same rank
melee	n. confusedstruggle; confused crowd of people
meliorate	To make better or improve, as in quality or social or physical condition.
meliorism	The belief that society has an innate tendency toward improvement and that this tendency may be furthered through conscious human effort.
mellifluous	adj. sweet-sounding; (almost) musical
melodious	adj. of or producingpleasant music; tuneful
melodrama	drama full of sensational events and exaggerated characters, often with a happy ending
melodramatic	 adj. of, like or suitable for melodrama
melody	arrangement of words put to music; song or tune
melon	n. large juicy round fruit of various types of plant that trail along the ground
melt	become liquid through heating
melted	 [ melt: ] to liquefy (a solid) or (of a solid) to become liquefied, as a result of the action of heat
member	person belonging to a group, society, etc
membership	state of being a member of a group, society, etc
membrane	 n. thin pliable skin-like tissue connecting, covering or lining parts of an animal or a vegetable body
memento	n. thing given, bought, etc and kept as a reminder (of a person, a place or an event)
memoir	written record of events, usu based on personal knowledge
memorable	adj. deserving to be remembered; easily remembered
memorandum	note made for future use, esp to help oneself remember sth
memorial	 n. ~ monument, plaque, ceremony, etc that reminds people of an event or a person
memorialize	commemorate
memorize	 to commit to memory; learn so as to remember
memory	power of the mind by which facts can be remembered
men	pl of man1
menace	threatening quality, tone, feeling, etc
menagerie	n. collection of wild animals in captivity, esp in a travelling circus or for exhibition
mend	return (sth broken, worn out or torn) to good condition or working order; repair
mendacious	 adj. untruthful; lying
mendacity	untruthfulness
mendicant	n, adj (person) getting a living by begging
menial	 adj. (of work) suitable to be done by servants; unskilled
mental	of, in or to the mind
mentality	characteristic attitude of mind; way of thinking
mentally	 adv. in the mind; with regard to the mind
menthol	n. solid white substanceobtained from oil of peppermint, used to relieve pain and as a flavouring, eg in cigarettes or toothpaste
mention	~ sth/sb (as sth); ~ sth/sb (to sb) write or speak about sth/sb briefly; say the name of sth/sb; refer to sth/sb
mentor	 n. experienced and trusted adviser of an inexperienced person
menu	list of dishes available at a restaurant or to be served at a meal
mercantile	 adj. of trade and commerce; of merchants ;
mercenary	adj. interested only in making money, etc; done from this motive
